iter	RMSE
0	75323.27482
1	73454.29893
2	71630.05191
3	69980.51357
4	68154.26992
5	66511.42384
6	64772.26487
7	63238.99369
8	61911.92576
9	60446.85642
10	59027.51877
11	57570.04652
12	56286.09139
13	55013.58402
14	53822.90451
15	52701.30969
16	51657.24635
17	50780.27805
18	49739.69004
19	48715.98932
20	47778.96805
21	46890.82862
22	46147.9125
23	45316.17273
24	44515.80846
25	43765.05779
26	43078.58077
27	42397.21997
28	41724.8781
29	41042.65348
30	40489.44313
31	39823.82729
32	39241.68876
33	38750.26562
34	38193.77571
35	37664.14463
36	37093.54965
37	36583.93176
38	36119.95577
39	35661.40636
40	35209.44818
41	34751.86309
42	34323.47378
43	33968.33751
44	33561.31346
45	33133.42377
46	32791.99188
47	32458.69725
48	32082.14089
49	31661.66867
50	31292.02384
51	30906.85045
52	30594.69479
53	30303.93048
54	30035.62587
55	29648.88085
56	29392.82344
57	29187.29665
58	28879.30759
59	28587.10091
60	28346.62723
61	28084.43431
62	27844.67035
63	27587.71021
64	27394.40004
65	27184.7268
66	26968.87491
67	26744.51268
68	26539.2818
69	26335.01867
70	26163.50044
71	25970.53606
72	25762.63899
73	25611.23369
74	25399.36642
75	25222.46733
76	25036.97868
77	24860.75132
78	24724.51067
79	24591.32266
80	24465.02299
81	24347.39562
82	24219.07848
83	24109.93063
84	23991.06841
85	23835.50331
86	23684.35807
87	23521.33077
88	23417.46966
89	23269.79725
90	23187.88805
91	23081.3555
92	22903.6423
93	22820.52827
94	22686.76423
95	22636.07165
96	22562.11959
97	22440.92093
98	22351.6145
99	22266.22725
100	22174.55471
101	22059.9167
102	21948.46491
103	21858.55434
104	21742.08061
105	21653.09875
106	21577.38859
107	21472.07551
108	21413.97542
109	21316.55198
110	21256.63985
111	21186.64713
112	21091.16485
113	21036.49857
114	20966.02944
115	20874.54811
116	20825.27442
117	20730.52586
118	20663.60951
119	20566.23139
120	20487.29444
121	20444.92983
122	20352.84141
123	20276.89275
124	20192.83107
125	20096.95762
126	20031.85986
127	19983.41275
128	19909.18721
129	19852.85874
130	19777.38511
131	19697.35876
132	19612.32854
133	19544.58785
134	19485.65324
135	19422.53123
136	19369.69727
137	19306.62678
138	19209.03191
139	19141.81155
140	19090.36361
141	19046.83786
142	18977.7389
143	18920.94215
144	18862.02131
145	18822.10055
146	18792.91786
147	18731.74232
148	18687.89856
149	18644.76869
150	18625.39206
151	18561.0337
152	18492.53224
153	18421.06378
154	18378.9137
155	18306.72427
156	18259.6019
157	18183.19402
158	18131.02103
159	18092.31603
160	18040.74914
161	18002.35589
162	17939.43827
163	17895.71086
164	17820.13486
